Time (Day)	LVV B-X (nT)
10.09653	19839.50
10.09722	19839.30
10.09792	19839.10
10.09861	19839.30
10.09931	19839.60
10.10000	19839.70
10.10069	19840.20
10.10139	19840.50
10.10208	19840.30
10.10278	19839.90
10.10347	19840.10
10.10417	19840.00
10.10486	19840.10
10.10556	19840.20
10.10625	19841.10
10.10694	19841.10
10.10764	19841.10
10.10833	19840.90
10.10903	19841.30
10.10972	19840.60
10.11042	19840.70
10.11111	19840.90
10.11181	19841.60
10.11250	19842.20
10.11319	19842.50
10.11389	19842.30
10.11458	19842.10
10.11528	19842.10
10.11597	19842.00
10.11667	19842.20
10.11736	19842.40
10.11806	19842.00
10.11875	19841.30
10.11944	19841.80
10.12014	19841.50
10.12083	19841.50
10.12153	19842.30
10.12222	19841.20
10.12292	19841.00
10.12361	19841.20
10.12431	19841.60
10.12500	19842.10
10.12569	19841.90
10.12639	19842.50
10.12708	19843.10
10.12778	19842.90
10.12847	19841.90
10.12917	19841.70
10.12986	19841.30
10.13056	19840.70
10.13125	19840.40
10.13194	19840.30
10.13264	19840.60
10.13333	19840.70
10.13403	19841.00
10.13472	19840.60
10.13542	19840.20
10.13611	19840.20
10.13681	19840.70
10.13750	19840.70
10.13819	19840.50
10.13889	19840.10
10.13958	19840.30
10.14028	19840.60
10.14097	19840.60
10.14167	19840.40
10.14236	19840.50
10.14306	19840.60
10.14375	19840.30
10.14444	19840.60
10.14514	19840.20
10.14583	19840.60
10.14653	19840.80
10.14722	19841.10
10.14792	19841.30
10.14861	19842.00
10.14931	19842.50
10.15000	19843.30
10.15069	19842.80
10.15139	19842.00
10.15208	19842.70
10.15278	19843.10
10.15347	19843.50
10.15417	19843.10
10.15486	19842.70
10.15556	19843.10
10.15625	19843.00
10.15694	19843.30
10.15764	19843.60
10.15833	19843.00
10.15903	19843.10
10.15972	19843.30
10.16042	19843.50
10.16111	19843.40
10.16181	19843.40
10.16250	19843.40
10.16319	19843.00
10.16389	19842.70
10.16458	19842.60
10.16528	19841.30
10.16597	19842.10
10.16667	19841.90
10.16736	19842.00
10.16806	19841.60
10.16875	19841.70
10.16944	19841.70
10.17014	19841.80
10.17083	19842.30
10.17153	19842.40
10.17222	19842.70
10.17292	19843.70
10.17361	19843.10
10.17431	19842.70
10.17500	19842.50
10.17569	19842.10
10.17639	19842.60
10.17708	19843.60
10.17778	19842.00
10.17847	19842.30
10.17917	19842.80
10.17986	19843.30
10.18056	19844.20
10.18125	19843.90
10.18194	19843.80
10.18264	19843.70
10.18333	19842.30
10.18403	19843.40
10.18472	19843.90
10.18542	19844.60
10.18611	19844.40
10.18681	19844.80
10.18750	19844.10
10.18819	19846.20
10.18889	19845.60
10.18958	19845.80
10.19028	19845.90
10.19097	19846.50
10.19167	19846.00
10.19236	19845.70
10.19306	19845.90
10.19375	19846.00
10.19444	19845.90
10.19514	19846.80
10.19583	19847.40
10.19653	19847.60
10.19722	19847.50
10.19792	19847.20
10.19861	19846.90
10.19931	19847.10
10.20000	19847.20
10.20069	19847.70
10.20139	19847.80
10.20208	19847.60
10.20278	19847.40
10.20347	19847.80
10.20417	19847.80
10.20486	19847.80
10.20556	19847.20
10.20625	19847.30
10.20694	19847.90
10.20764	19848.20
10.20833	19847.60
10.20903	19847.40
10.20972	19847.20
10.21042	19846.80
10.21111	19846.50
10.21181	19846.60
10.21250	19846.70
10.21319	19847.10
10.21389	19845.80
10.21458	19845.70
10.21528	19845.80
10.21597	19846.70
10.21667	19846.40
10.21736	19845.80
10.21806	19845.10
10.21875	19845.60
10.21944	19845.60
10.22014	19845.30
10.22083	19845.20
10.22153	19845.10
10.22222	19845.10
10.22292	19845.50
10.22361	19845.00
10.22431	19845.60
10.22500	19845.10
10.22569	19845.40
10.22639	19845.00
10.22708	19845.10
10.22778	19844.60
10.22847	19845.00
10.22917	19844.60
10.22986	19844.90
10.23056	19845.70
10.23125	19845.90
10.23194	19845.30
10.23264	19845.60
10.23333	19845.10
10.23403	19845.00
10.23472	19844.80
10.23542	19844.60
10.23611	19844.10
10.23681	19843.50
10.23750	19844.00
10.23819	19843.60
10.23889	19843.10
10.23958	19843.00
10.24028	19843.40
10.24097	19844.90
10.24167	19844.30
10.24236	19844.30
10.24306	19844.00
10.24375	19844.00
10.24444	19844.40
10.24514	19844.50
10.24583	19845.70
10.24653	19847.10
10.24722	19847.90
10.24792	19847.30
10.24861	19847.50
10.24931	19847.80
10.25000	19847.20
10.25069	19847.40
10.25139	19847.70
10.25208	19847.10
10.25278	19847.40
10.25347	19847.00
10.25417	19846.20
10.25486	19845.70
10.25556	19846.00
10.25625	19845.80
10.25694	19845.70
10.25764	19845.60
10.25833	19845.40
10.25903	19845.30
10.25972	19845.90
10.26042	19845.80
10.26111	19846.40
10.26181	19846.10
10.26250	19845.80
10.26319	19846.00
10.26389	19846.00
10.26458	19845.90
10.26528	19846.30
10.26597	19845.90
10.26667	19845.80
10.26736	19845.70
10.26806	19846.20
10.26875	19846.30
10.26944	19845.90
10.27014	19845.40
10.27083	19845.90
10.27153	19845.40
10.27222	19845.40
10.27292	19845.30
10.27361	19845.30
10.27431	19845.30
10.27500	19845.00
10.27569	19845.10
10.27639	19845.60
10.27708	19846.10
10.27778	19845.90
10.27847	19846.30
10.27917	19846.10
10.27986	19845.90
10.28056	19846.40
10.28125	19846.30
10.28194	19847.00
10.28264	19847.00
10.28333	19846.80
10.28403	19846.30
10.28472	19846.30
10.28542	19846.60
10.28611	19846.30
10.28681	19846.20
10.28750	19846.30
10.28819	19846.90
10.28889	19847.00
10.28958	19846.90
10.29028	19846.80
10.29097	19846.70
10.29167	19846.60
10.29236	19846.90
10.29306	19846.80
10.29375	19846.50
10.29444	19846.30
10.29514	19846.10
10.29583	19845.70
10.29653	19846.00
10.29722	19846.10
10.29792	19845.80
10.29861	19845.70
10.29931	19845.60
10.30000	19845.70
10.30069	19845.60
10.30139	19845.90
10.30208	19845.80
10.30278	19845.90
10.30347	19845.50
10.30417	19845.80
10.30486	19845.40
10.30556	19846.10
10.30625	19845.20
10.30694	19845.40
10.30764	19845.70
10.30833	19844.60
10.30903	19844.80
10.30972	19844.70
10.31042	19844.30
10.31111	19844.60
10.31181	19844.40
10.31250	19844.60
10.31319	19844.30
10.31389	19844.90
10.31458	19845.10
10.31528	19845.50
10.31597	19845.40
10.31667	19844.70
10.31736	19844.50
10.31806	19844.80
10.31875	19844.70
10.31944	19844.20
10.32014	19844.20
10.32083	19844.20
10.32153	19844.00
10.32222	19843.60
10.32292	19844.00
10.32361	19843.70
10.32431	19843.50
10.32500	19843.60
10.32569	19843.60
10.32639	19843.60
10.32708	19843.60
10.32778	19843.60
10.32847	19843.40
10.32917	19843.40
10.32986	19842.40
10.33056	19842.50
10.33125	19842.40
10.33194	19842.30
10.33264	19842.00
10.33333	19841.80
10.33403	19842.10
10.33472	19841.90
10.33542	19841.50
10.33611	19841.80
10.33681	19842.00
10.33750	19841.90
10.33819	19842.00
10.33889	19843.00
10.33958	19843.40
10.34028	19843.20
10.34097	19842.50
10.34167	19842.30
10.34236	19841.90
10.34306	19841.90
10.34375	19842.20
10.34444	19841.20
10.34514	19841.50
10.34583	19841.50
10.34653	19841.80
10.34722	19841.60
10.34792	19841.60
10.34861	19841.30
10.34931	19841.00
10.35000	19840.30
10.35069	19840.10
10.35139	19840.80
10.35208	19840.90
10.35278	19841.00
10.35347	19840.10
10.35417	19840.40
10.35486	19840.60
10.35556	19840.70
10.35625	19840.00
10.35694	19839.80
10.35764	19839.10
10.35833	19838.70
10.35903	19838.60
10.35972	19838.50
10.36042	19837.60
10.36111	19837.10
10.36181	19836.90
10.36250	19837.00
10.36319	19836.70
10.36389	19836.80
10.36458	19835.90
10.36528	19836.00
10.36597	19835.70
10.36667	19834.80
10.36736	19834.10
10.36806	19834.10
10.36875	19833.90
10.36944	19833.60
10.37014	19833.60
10.37083	19833.70
10.37153	19833.60
10.37222	19832.50
10.37292	19831.60
10.37361	19831.40
10.37431	19831.60
10.37500	19830.70
10.37569	19830.30
10.37639	19829.60
10.37708	19828.30
10.37778	19827.70
10.37847	19828.20
10.37917	19828.30
10.37986	19828.10
10.38056	19828.00
10.38125	19827.10
10.38194	19825.90
10.38264	19825.90
10.38333	19826.10
10.38403	19826.60
10.38472	19827.30
10.38542	19827.40
10.38611	19827.20
10.38681	19827.40
10.38750	19827.70
10.38819	19826.70
10.38889	19827.20
10.38958	19827.50
10.39028	19827.30
10.39097	19828.30
10.39167	19827.90
10.39236	19827.20
10.39306	19826.60
10.39375	19826.20
10.39444	19826.10
10.39514	19826.20
10.39583	19826.60
10.39653	19826.50
10.39722	19826.70
10.39792	19826.00
10.39861	19824.50
10.39931	19824.20
10.40000	19824.30
10.40069	19825.30
10.40139	19825.20
10.40208	19825.00
10.40278	19823.80
10.40347	19823.40
10.40417	19822.20
10.40486	19821.30
10.40556	19821.20
10.40625	19821.00
10.40694	19820.70
10.40764	19820.40
10.40833	19820.10
10.40903	19820.20
10.40972	19819.80
10.41042	19819.70
10.41111	19819.20
10.41181	19819.60
10.41250	19819.60
10.41319	19819.80
10.41389	19819.70
10.41458	19819.70
10.41528	19819.80
10.41597	19819.50
10.41667	19819.80
10.41736	19819.60
10.41806	19819.50
10.41875	19819.40
10.41944	19819.10
10.42014	19819.30
10.42083	19819.20
10.42153	19818.40
10.42222	19818.30
10.42292	19818.30
10.42361	19818.70
10.42431	19818.90
10.42500	19818.70
10.42569	19818.90
10.42639	19819.50
10.42708	19819.80
10.42778	19819.60
10.42847	19819.50
10.42917	19819.60
10.42986	19819.30
10.43056	19819.80
10.43125	19820.00
10.43194	19820.10
10.43264	19820.50
10.43333	19820.50
10.43403	19820.20
10.43472	19820.10
10.43542	19819.60
10.43611	19820.30
10.43681	19820.60
10.43750	19820.40
10.43819	19819.90
10.43889	19820.30
10.43958	19819.70
10.44028	19819.10
10.44097	19817.80
10.44167	19819.20
10.44236	19819.60
10.44306	19819.40
10.44375	19820.10
10.44444	19820.30
10.44514	19821.10
10.44583	19821.20
10.44653	19821.00
10.44722	19820.50
10.44792	19820.10
10.44861	19820.20
10.44931	19820.00
10.45000	19819.80
10.45069	19819.90
10.45139	19820.80
10.45208	19820.40
10.45278	19820.00
10.45347	19820.10
10.45417	19820.20
10.45486	19820.40
10.45556	19820.70
10.45625	19820.80
10.45694	19820.90
10.45764	19820.40
10.45833	19820.00
10.45903	19820.10
10.45972	19819.90
10.46042	19819.20
10.46111	19818.60
10.46181	19818.00
10.46250	19817.90
10.46319	19817.90
10.46389	19818.00
10.46458	19818.10
10.46528	19817.90
10.46597	19817.80
10.46667	19817.60
10.46736	19817.10
10.46806	19816.90
10.46875	19817.60
10.46944	19817.30
10.47014	19817.50
10.47083	19817.40
10.47153	19816.60
10.47222	19816.10
10.47292	19816.50
10.47361	19817.00
10.47431	19817.20
10.47500	19816.60
10.47569	19816.90
10.47639	19816.90
10.47708	19817.30
10.47778	19817.70
10.47847	19817.80
10.47917	19818.20
10.47986	19818.70
10.48056	19819.70
10.48125	19819.30
10.48194	19818.30
10.48264	19816.90
10.48333	19816.60
10.48403	19817.30
10.48472	19817.50
10.48542	19818.80
10.48611	19819.30
10.48681	19819.20
10.48750	19819.30
10.48819	19819.50
10.48889	19818.80
10.48958	19818.10
10.49028	19817.60
10.49097	19817.10
10.49167	19817.20
10.49236	19817.50
10.49306	19817.20
10.49375	19816.80
10.49444	19816.20
10.49514	19815.50
10.49583	19816.00
10.49653	19815.60
10.49722	19814.70
10.49792	19812.70
10.49861	19811.90
10.49931	19811.70
10.50000	19813.00
10.50069	19813.20
10.50139	19812.10
10.50208	19812.00
10.50278	19811.90
10.50347	19812.40
10.50417	19811.50
10.50486	19810.30
10.50556	19810.40
10.50625	19811.00
10.50694	19811.10
10.50764	19810.70
10.50833	19810.70
10.50903	19810.00
10.50972	19809.40
10.51042	19810.00
10.51111	19809.10
10.51181	19809.40
10.51250	19808.80
10.51319	19808.70
10.51389	19807.70
10.51458	19808.50
10.51528	19808.20
10.51597	19808.60
10.51667	19808.00
10.51736	19808.60
10.51806	19808.50
10.51875	19808.10
10.51944	19807.20
10.52014	19805.90
10.52083	19806.10
10.52153	19806.70
10.52222	19807.70
10.52292	19807.80
10.52361	19807.80
10.52431	19808.20
10.52500	19808.20
10.52569	19807.40
10.52639	19806.10
10.52708	19806.60
10.52778	19806.60
10.52847	19806.90
10.52917	19807.10
10.52986	19806.60
10.53056	19806.20
10.53125	19806.50
10.53194	19805.90
10.53264	19806.20
10.53333	19806.50
10.53403	19806.10
10.53472	19805.90
10.53542	19805.60
10.53611	19806.00
10.53681	19805.90
10.53750	19805.60
10.53819	19805.60
10.53889	19805.80
10.53958	19806.00
10.54028	19805.90
10.54097	19806.30
10.54167	19806.90
10.54236	19807.00
10.54306	19807.30
10.54375	19808.40
10.54444	19809.10
10.54514	19809.50
10.54583	19809.50
10.54653	19809.70
10.54722	19809.50
10.54792	19809.60
10.54861	19810.20
10.54931	19809.80
10.55000	19810.00
10.55069	19810.80
10.55139	19810.40
10.55208	19810.50
10.55278	19811.00
10.55347	19812.50
10.55417	19812.20
10.55486	19812.90
10.55556	19813.30
10.55625	19813.20
10.55694	19813.70
10.55764	19815.40
10.55833	19815.40
10.55903	19815.50
10.55972	19815.40
10.56042	19815.10
10.56111	19815.10
10.56181	19814.70
10.56250	19814.30
10.56319	19814.30
10.56389	19813.50
10.56458	19813.70
10.56528	19813.60
10.56597	19812.80
10.56667	19812.60
10.56736	19813.00
10.56806	19813.80
10.56875	19814.20
10.56944	19814.20
10.57014	19813.90
10.57083	19814.00
10.57153	19814.70
10.57222	19815.40
10.57292	19815.90
10.57361	19815.90
10.57431	19815.70
10.57500	19815.80
10.57569	19816.50
10.57639	19815.80
10.57708	19815.60
10.57778	19816.40
10.57847	19816.40
10.57917	19816.40
10.57986	19816.00
10.58056	19816.20
10.58125	19816.70
10.58194	19816.70
10.58264	19816.30
10.58333	19816.80
10.58403	19817.20
10.58472	19817.80
10.58542	19818.70
10.58611	19818.80
10.58681	19818.90
10.58750	19819.80
10.58819	19820.20
10.58889	19820.60
10.58958	19820.50
10.59028	19819.70
10.59097	19818.40
10.59167	19818.50
10.59236	19819.40
10.59306	19819.20
10.59375	19819.10
10.59444	19820.00
10.59514	19819.80
10.59583	19820.40
10.59653	19820.30
10.59722	19820.50
10.59792	19820.60
10.59861	19820.50
10.59931	19820.50
10.60000	19820.30
10.60069	19820.70
10.60139	19820.30
10.60208	19820.40
10.60278	19820.50
10.60347	19820.50
10.60417	19820.00
10.60486	19819.40
10.60556	19819.50
10.60625	19819.30
10.60694	19819.10
10.60764	19818.90
10.60833	19818.50
10.60903	19818.50
10.60972	19818.10
10.61042	19818.20
10.61111	19818.30
10.61181	19818.40
10.61250	19818.60
10.61319	19819.10
10.61389	19819.50
10.61458	19819.90
10.61528	19819.80
10.61597	19819.50
10.61667	19819.60
10.61736	19820.00
10.61806	19820.50
10.61875	19820.80
10.61944	19820.60
10.62014	19820.90
10.62083	19820.80
10.62153	19820.50
10.62222	19820.50
10.62292	19820.50
10.62361	19820.70
10.62431	19821.60
10.62500	19821.40
10.62569	19821.10
10.62639	19820.40
10.62708	19820.10
10.62778	19819.60
10.62847	19819.20
10.62917	19819.80
10.62986	19819.90
10.63056	19819.60
10.63125	19818.70
10.63194	19818.40
10.63264	19818.20
10.63333	19818.10
10.63403	19817.20
10.63472	19817.10
10.63542	19816.90
10.63611	19816.70
10.63681	19816.50
10.63750	19817.30
10.63819	19817.60
10.63889	19818.90
10.63958	19819.20
10.64028	19819.40
10.64097	19818.70
10.64167	19818.80
10.64236	19819.80
10.64306	19819.30
10.64375	19819.40
10.64444	19819.70
10.64514	19819.70
10.64583	19820.20
10.64653	19820.70
10.64722	19820.30
10.64792	19820.60
10.64861	19821.20
10.64931	19821.70
10.65000	19822.20
10.65069	19822.40
10.65139	19823.20
10.65208	19823.00
10.65278	19823.40
10.65347	19823.50
10.65417	19824.10
10.65486	19824.40
10.65556	19824.30
10.65625	19824.70
10.65694	19824.50
10.65764	19824.20
10.65833	19824.40
10.65903	19824.40
10.65972	19824.60
10.66042	19825.60
10.66111	19825.40
10.66181	19825.40
10.66250	19825.30
10.66319	19826.70
10.66389	19827.00
10.66458	19828.00
10.66528	19827.20
10.66597	19827.00
10.66667	19826.00
10.66736	19825.90
10.66806	19825.80
10.66875	19825.90
10.66944	19826.90
10.67014	19827.40
10.67083	19827.50
10.67153	19827.90
10.67222	19827.80
10.67292	19828.10
10.67361	19828.80
10.67431	19828.30
10.67500	19828.40
10.67569	19828.50
10.67639	19828.90
10.67708	19828.70
10.67778	19828.10
10.67847	19828.30
10.67917	19827.30
10.67986	19826.20
10.68056	19825.60
10.68125	19825.20
10.68194	19824.40
10.68264	19825.20
10.68333	19824.80
10.68403	19824.70
10.68472	19825.00
10.68542	19825.10
10.68611	19825.20
10.68681	19824.60
10.68750	19824.60
10.68819	19825.50
10.68889	19825.70
10.68958	19825.80
10.69028	19825.50
10.69097	19825.80
10.69167	19826.00
10.69236	19826.30
10.69306	19826.60
10.69375	19826.10
10.69444	19826.10
10.69514	19826.40
10.69583	19826.40
10.69653	19826.40
10.69722	19826.10
10.69792	19825.50
10.69861	19825.70
10.69931	19825.30
10.70000	19825.30
10.70069	19824.60
10.70139	19824.20
10.70208	19824.70
10.70278	19824.50
10.70347	19824.40
10.70417	19823.90
10.70486	19823.80
10.70556	19824.20
10.70625	19824.20
10.70694	19824.30
10.70764	19824.40
10.70833	19824.00
10.70903	19824.50
10.70972	19824.90
10.71042	19825.40
10.71111	19825.20
10.71181	19825.40
10.71250	19825.20
10.71319	19825.10
10.71389	19825.10
10.71458	19825.80
10.71528	19826.40
10.71597	19826.30
10.71667	19825.40
10.71736	19825.40
10.71806	19826.60
10.71875	19826.50
10.71944	19825.40
10.72014	19825.40
10.72083	19825.90
10.72153	19826.00
10.72222	19825.70
10.72292	19825.10
10.72361	19824.50
10.72431	19824.50
10.72500	19824.50
10.72569	19824.40
10.72639	19823.60
10.72708	19823.40
10.72778	19823.30
10.72847	19823.80
10.72917	19824.50
10.72986	19824.80
10.73056	19825.50
10.73125	19825.90
10.73194	19827.20
10.73264	19828.50
10.73333	19828.60
10.73403	19829.40
10.73472	19829.30
10.73542	19829.60
10.73611	19829.40
10.73681	19829.50
10.73750	19829.00
10.73819	19828.90
10.73889	19828.70
10.73958	19828.70
10.74028	19828.70
10.74097	19829.20
10.74167	19828.70
10.74236	19828.80
10.74306	19829.60
10.74375	19829.70
10.74444	19828.50
10.74514	19828.00
10.74583	19828.00
10.74653	19828.10
10.74722	19827.90
10.74792	19827.80
10.74861	19829.10
10.74931	19828.80
10.75000	19828.80
10.75069	19829.00
10.75139	19829.20
10.75208	19828.40
10.75278	19830.00
10.75347	19828.90
10.75417	19829.40
10.75486	19829.60
10.75556	19829.80
10.75625	19830.10
10.75694	19830.40
10.75764	19830.30
10.75833	19830.40
10.75903	19831.00
10.75972	19831.20
10.76042	19830.90
10.76111	19831.20
10.76181	19831.20
10.76250	19831.40
10.76319	19830.70
10.76389	19830.40
10.76458	19829.80
10.76528	19829.10
10.76597	19828.50
10.76667	19827.80
10.76736	19828.30
10.76806	19827.90
10.76875	19827.30
10.76944	19826.70
10.77014	19826.20
10.77083	19826.20
10.77153	19826.60
10.77222	19827.00
10.77292	19827.90
10.77361	19828.00
10.77431	19828.50
10.77500	19828.80
10.77569	19829.10
10.77639	19828.40
10.77708	19827.10
10.77778	19827.10
10.77847	19827.20
10.77917	19827.00
10.77986	19826.10
10.78056	19825.50
10.78125	19824.70
10.78194	19823.50
10.78264	19823.50
10.78333	19822.90
10.78403	19822.60
10.78472	19821.80
10.78542	19821.70
10.78611	19821.40
10.78681	19820.90
10.78750	19820.60
10.78819	19820.20
10.78889	19820.40
10.78958	19820.30
10.79028	19821.00
10.79097	19821.20
10.79167	19821.40
10.79236	19821.60
10.79306	19821.90
10.79375	19822.40
10.79444	19822.90
10.79514	19823.60
10.79583	19824.40
10.79653	19824.80
10.79722	19825.30
10.79792	19825.60
10.79861	19826.30
10.79931	19826.90
10.80000	19827.20
10.80069	19827.70
10.80139	19827.80
10.80208	19828.30
10.80278	19828.80
10.80347	19829.50
10.80417	19829.50
10.80486	19829.40
10.80556	19829.40
10.80625	19829.40
10.80694	19830.00
10.80764	19829.70
10.80833	19830.90
10.80903	19830.40
10.80972	19830.40
10.81042	19831.30
10.81111	19830.90
10.81181	19830.90
10.81250	19830.90
10.81319	19830.40
10.81389	19830.50
10.81458	19829.30
10.81528	19829.40
10.81597	19830.10
10.81667	19829.50
10.81736	19828.90
10.81806	19827.80
10.81875	19827.50
10.81944	19827.80
10.82014	19828.20
10.82083	19828.40
10.82153	19828.50
10.82222	19828.10
10.82292	19827.40
10.82361	19827.30
10.82431	19827.80
10.82500	19827.30
10.82569	19826.80
10.82639	19827.60
10.82708	19827.30
10.82778	19827.80
10.82847	19828.30
10.82917	19828.50
10.82986	19828.20
10.83056	19827.80
10.83125	19828.50
10.83194	19828.50
10.83264	19828.90
10.83333	19829.20
10.83403	19829.00
10.83472	19829.30
10.83542	19829.90
10.83611	19830.30
10.83681	19830.50
10.83750	19831.10
10.83819	19831.70
10.83889	19832.10
10.83958	19832.30
10.84028	19832.20
10.84097	19832.40
10.84167	19832.60
10.84236	19832.60
10.84306	19832.10
10.84375	19832.40
10.84444	19832.70
10.84514	19832.80
10.84583	19832.60
10.84653	19832.50
10.84722	19832.90
10.84792	19833.00
10.84861	19832.60
10.84931	19832.10
10.85000	19831.80
10.85069	19831.90
10.85139	19831.80
10.85208	19831.50
10.85278	19831.70
10.85347	19831.70
10.85417	19831.90
10.85486	19831.80
10.85556	19830.50
10.85625	19830.50
10.85694	19829.90
10.85764	19829.90
10.85833	19829.90
10.85903	19830.00
10.85972	19829.60
10.86042	19829.70
10.86111	19830.50
10.86181	19830.20
10.86250	19830.40
10.86319	19830.70
10.86389	19830.30
10.86458	19829.80
10.86528	19830.10
10.86597	19829.50
10.86667	19828.90
10.86736	19829.60
10.86806	19828.80
10.86875	19827.90
10.86944	19827.20
10.87014	19826.90
10.87083	19826.70
10.87153	19826.90
10.87222	19826.80
10.87292	19826.00
10.87361	19825.90
10.87431	19825.90
10.87500	19825.90
10.87569	19826.70
10.87639	19826.70
10.87708	19825.80
10.87778	19826.10
10.87847	19826.20
10.87917	19826.10
10.87986	19825.80
10.88056	19826.10
10.88125	19826.20
10.88194	19826.10
10.88264	19826.10
10.88333	19826.20
10.88403	19826.20
10.88472	19826.30
10.88542	19826.40
10.88611	19826.80
10.88681	19827.10
10.88750	19827.10
10.88819	19827.00
10.88889	19827.70
10.88958	19828.20
10.89028	19828.20
10.89097	19828.30
10.89167	19828.30
10.89236	19828.60
10.89306	19828.60
10.89375	19828.90
10.89444	19829.70
10.89514	19832.70
10.89583	19831.20
10.89653	19832.50
10.89722	19831.90
10.89792	19832.60
10.89861	19831.90
10.89931	19830.90
10.90000	19831.30
10.90069	19830.20
10.90139	19830.30
10.90208	19830.70
10.90278	19830.10
10.90347	19830.30
10.90417	19831.00
10.90486	19831.10
10.90556	19831.00
10.90625	19830.90
10.90694	19831.00
10.90764	19830.70
10.90833	19830.10
10.90903	19830.30
10.90972	19830.30
10.91042	19830.60
10.91111	19830.30
10.91181	19830.00
10.91250	19829.30
10.91319	19829.60
10.91389	19830.40
10.91458	19831.80
10.91528	19833.30
10.91597	19833.20
10.91667	19833.20
10.91736	19833.00
10.91806	19832.50
10.91875	19831.90
10.91944	19831.40
10.92014	19831.10
10.92083	19831.20
10.92153	19830.40
10.92222	19829.80
10.92292	19829.70
10.92361	19829.60
10.92431	19828.80
10.92500	19828.60
10.92569	19827.40
10.92639	19827.00
10.92708	19826.70
10.92778	19826.50
10.92847	19825.90
10.92917	19825.70
10.92986	19825.10
10.93056	19825.40
10.93125	19825.40
10.93194	19825.00
10.93264	19824.90
10.93333	19824.80
10.93403	19825.60
10.93472	19826.00
10.93542	19826.20
10.93611	19826.00
10.93681	19826.10
10.93750	19826.60
10.93819	19826.40
10.93889	19826.60
10.93958	19827.10
10.94028	19827.10
10.94097	19826.90
10.94167	19826.60
10.94236	19826.70
10.94306	19826.90
10.94375	19826.40
10.94444	19826.40
10.94514	19826.20
10.94583	19826.00
10.94653	19826.20
10.94722	19826.40
10.94792	19826.40
10.94861	19826.40
10.94931	19826.20
10.95000	19826.20
10.95069	19826.70
10.95139	19827.90
10.95208	19828.00
10.95278	19827.80
10.95347	19827.80
10.95417	19828.20
10.95486	19827.90
10.95556	19827.70
10.95625	19827.60
10.95694	19827.60
10.95764	19827.80
10.95833	19827.70
10.95903	19827.00
10.95972	19827.20
10.96042	19827.40
10.96111	19827.50
10.96181	19827.60
10.96250	19827.90
10.96319	19828.00
10.96389	19828.30
10.96458	19828.70
10.96528	19828.90
10.96597	19828.60
10.96667	19828.90
10.96736	19829.10
10.96806	19829.30
10.96875	19829.70
