Time (Day)	LVV B-Y (nT)
10.41042	2211.30
10.41111	2211.40
10.41181	2211.30
10.41250	2210.90
10.41319	2210.60
10.41389	2210.70
10.41458	2210.70
10.41528	2210.00
10.41597	2209.50
10.41667	2208.90
10.41736	2208.90
10.41806	2208.90
10.41875	2208.90
10.41944	2208.10
10.42014	2208.00
10.42083	2208.00
10.42153	2208.20
10.42222	2208.10
10.42292	2208.10
10.42361	2207.90
10.42431	2207.90
10.42500	2207.80
10.42569	2207.10
10.42639	2206.90
10.42708	2207.10
10.42778	2207.60
10.42847	2207.80
10.42917	2207.90
10.42986	2207.30
10.43056	2206.40
10.43125	2206.10
10.43194	2206.30
10.43264	2206.10
10.43333	2205.80
10.43403	2206.30
10.43472	2206.60
10.43542	2206.80
10.43611	2206.20
10.43681	2204.90
10.43750	2204.50
10.43819	2204.60
10.43889	2204.80
10.43958	2205.40
10.44028	2206.00
10.44097	2206.80
10.44167	2206.70
10.44236	2206.60
10.44306	2206.80
10.44375	2206.20
10.44444	2205.00
10.44514	2204.00
10.44583	2203.40
10.44653	2202.60
10.44722	2202.20
10.44792	2202.20
10.44861	2202.80
10.44931	2203.10
10.45000	2203.40
10.45069	2202.70
10.45139	2201.70
10.45208	2201.00
10.45278	2200.60
10.45347	2200.20
10.45417	2200.00
10.45486	2199.50
10.45556	2198.80
10.45625	2198.20
10.45694	2197.60
10.45764	2196.90
10.45833	2196.40
10.45903	2195.60
10.45972	2195.90
10.46042	2196.00
10.46111	2196.70
10.46181	2197.00
10.46250	2196.80
10.46319	2196.60
10.46389	2195.70
10.46458	2195.10
10.46528	2196.20
10.46597	2196.40
10.46667	2196.30
10.46736	2196.70
10.46806	2196.10
10.46875	2196.00
10.46944	2196.30
10.47014	2196.50
10.47083	2196.50
10.47153	2197.30
10.47222	2197.80
10.47292	2197.70
10.47361	2197.40
10.47431	2197.30
10.47500	2198.20
10.47569	2198.60
10.47639	2198.90
10.47708	2199.40
10.47778	2199.30
10.47847	2199.00
10.47917	2199.00
10.47986	2197.50
10.48056	2196.00
10.48125	2196.10
10.48194	2198.20
10.48264	2198.90
10.48333	2199.10
10.48403	2199.00
10.48472	2198.60
10.48542	2197.70
10.48611	2197.20
10.48681	2196.50
10.48750	2196.30
10.48819	2195.90
10.48889	2196.30
10.48958	2196.40
10.49028	2196.30
10.49097	2195.60
10.49167	2195.10
10.49236	2194.40
10.49306	2194.60
10.49375	2195.40
10.49444	2195.70
10.49514	2195.70
10.49583	2195.70
10.49653	2194.10
10.49722	2193.80
10.49792	2195.40
10.49861	2195.90
10.49931	2195.90
10.50000	2194.60
10.50069	2193.20
10.50139	2192.50
10.50208	2191.60
10.50278	2191.50
10.50347	2191.20
10.50417	2192.20
10.50486	2193.30
10.50556	2192.50
10.50625	2191.40
10.50694	2191.10
10.50764	2191.80
10.50833	2192.40
10.50903	2192.80
10.50972	2192.90
10.51042	2192.80
10.51111	2193.50
10.51181	2193.20
10.51250	2193.20
10.51319	2193.40
10.51389	2194.70
10.51458	2194.20
10.51528	2192.80
10.51597	2191.90
10.51667	2191.80
10.51736	2191.80
10.51806	2190.70
10.51875	2190.60
10.51944	2190.70
10.52014	2191.70
10.52083	2191.90
10.52153	2190.80
10.52222	2188.70
10.52292	2188.70
10.52361	2188.60
10.52431	2187.40
10.52500	2186.70
10.52569	2187.30
10.52639	2188.80
10.52708	2189.20
10.52778	2188.50
10.52847	2187.50
10.52917	2187.20
10.52986	2188.10
10.53056	2188.50
10.53125	2188.00
10.53194	2187.50
10.53264	2187.00
10.53333	2186.80
10.53403	2186.60
10.53472	2186.70
10.53542	2187.00
10.53611	2187.10
10.53681	2186.90
10.53750	2187.80
10.53819	2188.50
10.53889	2188.60
10.53958	2189.00
10.54028	2189.50
10.54097	2189.70
10.54167	2188.80
10.54236	2188.90
10.54306	2190.30
10.54375	2190.40
10.54444	2191.00
10.54514	2190.50
10.54583	2190.50
10.54653	2190.40
10.54722	2191.00
10.54792	2191.60
10.54861	2191.30
10.54931	2191.30
10.55000	2191.20
10.55069	2190.50
10.55139	2190.60
10.55208	2190.90
10.55278	2192.10
10.55347	2191.50
10.55417	2191.50
10.55486	2192.40
10.55556	2193.10
10.55625	2193.20
10.55694	2192.30
10.55764	2192.10
10.55833	2192.20
10.55903	2192.60
10.55972	2193.20
10.56042	2193.50
10.56111	2193.50
10.56181	2194.20
10.56250	2194.80
10.56319	2194.70
10.56389	2194.90
10.56458	2195.60
10.56528	2196.20
10.56597	2197.10
10.56667	2197.50
10.56736	2196.90
10.56806	2196.80
10.56875	2196.70
10.56944	2196.60
10.57014	2196.40
10.57083	2196.00
10.57153	2195.90
10.57222	2195.80
10.57292	2195.80
10.57361	2196.30
10.57431	2196.40
10.57500	2196.10
10.57569	2196.10
10.57639	2196.20
10.57708	2196.00
10.57778	2195.70
10.57847	2195.80
10.57917	2195.70
10.57986	2196.00
10.58056	2195.90
10.58125	2195.70
10.58194	2196.00
10.58264	2196.50
10.58333	2196.40
10.58403	2196.20
10.58472	2195.90
10.58542	2195.60
10.58611	2195.90
10.58681	2196.30
10.58750	2196.20
10.58819	2195.80
10.58889	2195.50
10.58958	2195.50
10.59028	2196.00
10.59097	2196.00
10.59167	2195.90
10.59236	2195.40
10.59306	2195.30
10.59375	2195.20
10.59444	2195.30
10.59514	2195.30
10.59583	2195.60
10.59653	2195.80
10.59722	2195.50
10.59792	2195.60
10.59861	2195.80
10.59931	2196.00
10.60000	2195.80
10.60069	2195.70
10.60139	2195.50
10.60208	2195.20
10.60278	2194.90
10.60347	2194.40
10.60417	2193.80
10.60486	2193.70
10.60556	2193.20
10.60625	2192.80
10.60694	2193.00
10.60764	2193.10
10.60833	2193.20
10.60903	2193.50
10.60972	2193.80
10.61042	2194.00
10.61111	2194.40
10.61181	2194.90
10.61250	2195.20
10.61319	2195.30
10.61389	2195.30
10.61458	2195.60
10.61528	2195.70
10.61597	2195.90
10.61667	2196.00
10.61736	2196.10
10.61806	2196.10
10.61875	2196.10
10.61944	2196.10
10.62014	2195.90
10.62083	2195.80
10.62153	2196.30
10.62222	2196.40
10.62292	2196.50
10.62361	2196.40
10.62431	2196.10
10.62500	2196.00
10.62569	2195.80
10.62639	2195.60
10.62708	2195.40
10.62778	2195.40
10.62847	2195.10
10.62917	2194.70
10.62986	2194.30
10.63056	2194.10
10.63125	2194.40
10.63194	2194.30
10.63264	2194.10
10.63333	2194.30
10.63403	2194.40
10.63472	2194.60
10.63542	2195.00
10.63611	2195.50
10.63681	2195.90
10.63750	2196.20
10.63819	2196.40
10.63889	2196.60
10.63958	2197.00
10.64028	2197.20
10.64097	2197.40
10.64167	2197.60
10.64236	2198.10
10.64306	2198.20
10.64375	2198.30
10.64444	2198.30
10.64514	2198.40
10.64583	2198.70
10.64653	2199.00
10.64722	2199.20
10.64792	2199.20
10.64861	2199.20
10.64931	2199.20
10.65000	2199.10
10.65069	2198.90
10.65139	2198.80
10.65208	2198.80
10.65278	2198.80
10.65347	2199.30
10.65417	2199.40
10.65486	2199.50
10.65556	2199.80
10.65625	2200.10
10.65694	2200.60
10.65764	2200.70
10.65833	2200.30
10.65903	2200.50
10.65972	2200.70
10.66042	2200.40
10.66111	2201.00
10.66181	2201.10
10.66250	2201.40
10.66319	2201.60
10.66389	2201.50
10.66458	2202.10
10.66528	2202.40
10.66597	2202.40
10.66667	2202.50
10.66736	2202.10
10.66806	2202.30
10.66875	2202.00
10.66944	2202.30
10.67014	2202.70
10.67083	2202.80
10.67153	2202.40
10.67222	2202.70
10.67292	2202.50
10.67361	2202.30
10.67431	2201.90
10.67500	2201.40
10.67569	2201.40
10.67639	2201.20
10.67708	2201.10
10.67778	2201.40
10.67847	2201.60
10.67917	2201.70
10.67986	2201.30
10.68056	2201.60
10.68125	2201.00
10.68194	2200.90
10.68264	2200.80
10.68333	2201.20
10.68403	2201.50
10.68472	2201.90
10.68542	2201.70
10.68611	2201.60
10.68681	2201.90
10.68750	2201.80
10.68819	2201.70
10.68889	2202.00
10.68958	2202.40
10.69028	2202.30
10.69097	2202.30
10.69167	2202.40
10.69236	2202.60
10.69306	2202.90
10.69375	2202.80
10.69444	2202.80
10.69514	2202.80
10.69583	2202.60
10.69653	2202.30
10.69722	2202.30
10.69792	2202.70
10.69861	2202.40
10.69931	2202.40
10.70000	2202.20
10.70069	2202.30
10.70139	2202.40
10.70208	2202.40
10.70278	2202.50
10.70347	2202.50
10.70417	2202.70
10.70486	2202.40
10.70556	2202.30
10.70625	2202.30
10.70694	2202.30
10.70764	2202.30
10.70833	2202.50
10.70903	2202.40
10.70972	2202.50
10.71042	2202.60
10.71111	2202.40
10.71181	2202.60
10.71250	2202.60
10.71319	2202.30
10.71389	2202.00
10.71458	2201.70
10.71528	2201.50
10.71597	2201.10
10.71667	2201.00
10.71736	2200.60
10.71806	2200.20
10.71875	2200.10
10.71944	2199.80
10.72014	2199.70
10.72083	2199.90
10.72153	2200.30
10.72222	2200.60
10.72292	2200.80
10.72361	2201.30
10.72431	2201.40
10.72500	2201.70
10.72569	2202.30
10.72639	2202.50
10.72708	2202.40
10.72778	2202.60
10.72847	2202.90
10.72917	2202.90
10.72986	2203.00
10.73056	2203.00
10.73125	2202.80
10.73194	2202.60
10.73264	2202.60
10.73333	2202.60
10.73403	2202.70
10.73472	2202.50
10.73542	2202.10
10.73611	2202.00
10.73681	2201.90
10.73750	2202.30
10.73819	2202.60
10.73889	2202.70
10.73958	2202.70
10.74028	2202.50
10.74097	2202.70
10.74167	2203.00
10.74236	2203.10
10.74306	2203.20
10.74375	2203.30
10.74444	2203.00
10.74514	2202.80
10.74583	2202.70
10.74653	2203.40
10.74722	2204.20
10.74792	2203.60
10.74861	2203.80
10.74931	2203.90
10.75000	2204.60
10.75069	2204.90
10.75139	2204.40
10.75208	2205.10
10.75278	2204.70
10.75347	2205.10
10.75417	2204.70
10.75486	2204.70
10.75556	2205.00
10.75625	2205.50
10.75694	2205.30
10.75764	2205.00
10.75833	2204.90
10.75903	2204.80
10.75972	2204.40
10.76042	2204.10
10.76111	2204.00
10.76181	2203.60
10.76250	2203.30
10.76319	2203.10
10.76389	2202.60
10.76458	2202.30
10.76528	2202.20
10.76597	2201.80
10.76667	2201.60
10.76736	2201.60
10.76806	2202.00
10.76875	2202.10
10.76944	2202.00
10.77014	2202.10
10.77083	2202.80
10.77153	2202.80
10.77222	2202.40
10.77292	2202.70
10.77361	2202.40
10.77431	2201.90
10.77500	2201.30
10.77569	2200.70
10.77639	2200.60
10.77708	2200.40
10.77778	2200.40
10.77847	2200.40
10.77917	2200.70
10.77986	2201.20
10.78056	2201.50
10.78125	2202.20
10.78194	2202.80
10.78264	2203.20
10.78333	2203.50
10.78403	2204.00
10.78472	2204.60
10.78542	2205.10
10.78611	2205.80
10.78681	2206.30
10.78750	2206.80
10.78819	2207.20
10.78889	2207.30
10.78958	2207.60
10.79028	2207.90
10.79097	2207.70
10.79167	2208.00
10.79236	2208.20
10.79306	2208.10
10.79375	2208.40
10.79444	2208.40
10.79514	2208.70
10.79583	2208.90
10.79653	2209.00
10.79722	2209.30
10.79792	2209.80
10.79861	2209.80
10.79931	2210.10
10.80000	2210.20
10.80069	2210.30
10.80139	2210.00
10.80208	2209.90
10.80278	2209.90
10.80347	2209.70
10.80417	2209.60
10.80486	2210.10
10.80556	2210.40
10.80625	2210.10
10.80694	2210.50
10.80764	2211.10
10.80833	2211.30
10.80903	2211.30
10.80972	2211.50
10.81042	2211.80
10.81111	2211.50
10.81181	2211.30
10.81250	2211.00
10.81319	2211.10
10.81389	2211.10
10.81458	2212.00
10.81528	2211.30
10.81597	2211.30
10.81667	2212.30
10.81736	2212.50
10.81806	2213.70
10.81875	2214.30
10.81944	2214.60
10.82014	2214.80
10.82083	2215.10
10.82153	2215.60
10.82222	2215.90
10.82292	2215.90
10.82361	2215.50
10.82431	2215.20
10.82500	2215.00
10.82569	2214.90
10.82639	2215.10
10.82708	2214.60
10.82778	2214.90
10.82847	2214.90
10.82917	2214.60
10.82986	2214.50
10.83056	2214.00
10.83125	2213.80
10.83194	2213.70
10.83264	2213.20
10.83333	2213.00
10.83403	2212.50
10.83472	2212.10
10.83542	2211.70
10.83611	2211.40
10.83681	2211.60
10.83750	2211.30
10.83819	2211.30
10.83889	2210.80
10.83958	2210.20
10.84028	2209.90
10.84097	2209.60
10.84167	2209.30
10.84236	2209.20
10.84306	2209.10
10.84375	2209.00
10.84444	2209.00
10.84514	2208.80
10.84583	2208.60
10.84653	2208.90
10.84722	2208.70
10.84792	2208.50
10.84861	2208.50
10.84931	2208.20
10.85000	2208.20
10.85069	2208.30
10.85139	2208.20
10.85208	2207.80
10.85278	2207.20
10.85347	2207.10
10.85417	2207.40
10.85486	2207.10
10.85556	2206.00
10.85625	2205.70
10.85694	2205.60
10.85764	2205.60
10.85833	2205.40
10.85903	2205.00
10.85972	2205.10
10.86042	2205.20
10.86111	2205.20
10.86181	2205.40
10.86250	2205.70
10.86319	2205.90
10.86389	2205.90
10.86458	2205.90
10.86528	2205.90
10.86597	2205.80
10.86667	2205.80
10.86736	2206.10
10.86806	2206.10
10.86875	2206.00
10.86944	2205.90
10.87014	2205.80
10.87083	2206.20
10.87153	2206.70
10.87222	2206.50
10.87292	2207.10
10.87361	2207.00
10.87431	2207.00
10.87500	2207.50
10.87569	2207.40
10.87639	2207.40
10.87708	2207.30
10.87778	2207.30
10.87847	2207.20
10.87917	2207.30
10.87986	2207.10
10.88056	2207.10
10.88125	2207.00
10.88194	2207.10
10.88264	2207.10
10.88333	2207.10
10.88403	2207.10
10.88472	2207.10
10.88542	2207.10
10.88611	2207.10
10.88681	2207.10
10.88750	2207.00
10.88819	2207.10
10.88889	2206.90
10.88958	2206.90
10.89028	2207.10
10.89097	2207.20
10.89167	2207.20
10.89236	2207.30
10.89306	2207.40
10.89375	2207.50
10.89444	2208.10
10.89514	2206.30
10.89583	2209.00
10.89653	2211.00
10.89722	2211.30
10.89792	2213.60
10.89861	2214.80
10.89931	2218.40
10.90000	2219.40
10.90069	2220.60
10.90139	2222.50
10.90208	2223.30
10.90278	2224.40
10.90347	2225.30
10.90417	2225.70
10.90486	2225.70
10.90556	2226.10
10.90625	2225.60
10.90694	2226.20
10.90764	2225.50
10.90833	2225.40
10.90903	2225.20
10.90972	2224.50
10.91042	2224.30
10.91111	2224.20
10.91181	2224.20
10.91250	2223.60
10.91319	2223.70
10.91389	2223.90
10.91458	2224.30
10.91528	2224.00
10.91597	2223.70
10.91667	2223.00
10.91736	2223.20
10.91806	2222.70
10.91875	2222.50
10.91944	2222.00
10.92014	2221.60
10.92083	2220.70
10.92153	2219.90
10.92222	2220.00
10.92292	2219.40
10.92361	2218.80
10.92431	2218.80
10.92500	2218.70
10.92569	2218.50
10.92639	2218.20
10.92708	2217.70
10.92778	2217.10
10.92847	2217.00
10.92917	2216.90
10.92986	2216.50
10.93056	2216.40
10.93125	2216.00
10.93194	2215.70
10.93264	2215.40
10.93333	2215.40
10.93403	2215.30
10.93472	2215.50
10.93542	2215.50
10.93611	2215.20
10.93681	2215.30
10.93750	2215.20
10.93819	2214.70
10.93889	2214.20
10.93958	2213.70
10.94028	2213.30
10.94097	2213.10
10.94167	2212.80
10.94236	2212.60
10.94306	2212.60
10.94375	2212.60
10.94444	2212.70
10.94514	2212.40
10.94583	2212.50
10.94653	2212.40
10.94722	2212.30
10.94792	2212.20
10.94861	2212.00
10.94931	2212.20
10.95000	2212.30
10.95069	2212.10
10.95139	2211.70
10.95208	2211.60
10.95278	2211.00
10.95347	2211.30
10.95417	2210.80
10.95486	2209.90
10.95556	2209.10
10.95625	2208.60
10.95694	2208.80
10.95764	2209.00
10.95833	2209.00
10.95903	2209.00
10.95972	2208.40
10.96042	2207.50
10.96111	2206.70
10.96181	2206.10
10.96250	2205.80
10.96319	2206.00
10.96389	2206.30
10.96458	2206.90
10.96528	2207.40
10.96597	2207.50
10.96667	2207.50
10.96736	2207.50
10.96806	2207.40
10.96875	2207.50
